,roles,companies,experience,locations,skills
0,Data Analyst/ Scientist,Sonu Kumar (Proprietor Of Bicano Tech Silca),0-3 Years,"Mumbai, Pune",  Data Scientist
1,data scientist,Atish Arun Sonune (Proprietor Of Tata Techno Solution),0-2 Years,Cochin / Kochi / Ernakulam,  Data Scientist
2,Data Scientist,Yashodha S M (Proprietor Of Co Inter Technology),0-2 Years,Chennai,  Data Scientist
3,Data Scientist,Yashodha S M (Proprietor Of Co Inter Technology),0-2 Years,Kozhikode / Calicut,"  data architech , Data Analyst , Data scientist"
4,Data Scientist,Js It Tech Solutions,3-5 Years,Hyderabad / Secunderabad,"  Deep Learning , Computer Vision"
5,Data Scientist,Applied Materials,4-7 Years,Bengaluru / Bangalore,"  R , Data Scientist , Scripting , Python , Shell Scripts"
6,Data Scientist,Alpha ICT LLP,3-10 Years,Pune,"  R , data architectures , Data Science , Machine Learning , Python"
7,Associate (Data Science/Analytics),Angel And Genie,3-5 Years,Bengaluru / Bangalore,"  Modeler , Data Scientist"
8,Senior/ Lead Data Scientist,A&S Software Technologies,5-8 Years,Chennai,"  Risk Analytics , NLHandling , Data Scientist , Python , Machine Learning , Deep Learning"
9,Data Scientist - Machine Learning,Company Name Confidential,3-6 Years,"Delhi, Gurgaon / Gurugram","  Logistic , Regression , Bagging and Boosting , Recommendation systems , Random Forests"
10,Data Scientist ( Contract ),Talent Basket,5-15 Years,Thiruvananthapuram / Trivandrum,"  ""Database Architect"" , Data Analyst , Data Scientist , Python Developers , Python Developer"
11,Senior Data Scientist (Althorithmic Trading),Tethys Technologies Private Limited,5-15 Years,Noida,"  Data Analyst , R/Splus , Data Scientist , Python , Matlab"
12,Junior Data Scientist,Yashodha S M (Proprietor Of Co Inter Technology),0-3 Years,"Mumbai, Mumbai City","  Data Science , Data Scientist , Artificial Intelligence , Machine Learning"
13,Data Scientist,Sonu Kumar (Proprietor Of Bicano Tech Silca),0-2 Years,Vadodara,"  Data Scientist , Data Structures , Multithreading , Design Patterns , Algorithms"
14,Business Analyst,Atish Arun Sonune (Proprietor Of Tata Techno Solution),0-3 Years,Aurangabad,"  Business Analytics , Business Analysis , Data Analyst , MIS Reporting , Due Diligence"
15,"Data Scientist – NLP, Text Mining",A&S Software Technologies,3-5 Years,Bengaluru / Bangalore,"  Data Scientist , Nlp , Text Mining , Data Mining , Python , Nlp"
16,Job Opportunity For Data Scientist,Peoplefy Infosolutions Private Limited,4-9 Years,Pune,"  neutral network , Machine Learning , Algorithms , Sql , Python"
17,Senior / Lead Data Scientist,Muskaan Parveen (Proprietor Of Muskan Industry),0-2 Years,Allahabad / Prayagraj,"  Database Administrator , Data Scientist , Database Admin , Data Base Administration"
18,Associate Data Scientist / Sr Associate Data Scientist / Data Scientist / Technical Data Scientist,Career Carnival LLP,2-8 Years,Bengaluru / Bangalore,"  Python , R Programming , Machine Learning"
19,Data Analyst,Talent Basket,5-7 Years,Thiruvananthapuram / Trivandrum,"  Data Analyst , ""data engineer"" , ETL Developer , Etl , Data Science , Data Scientist"
20,Data Scientist,Banctec Tps India Private Limited,2-7 Years,Pune,"  Regression , Data Scientist , Data Science , Nlp , Python"
21,Data Scientist,Magna Infotech Limited,10-15 Years,"Bengaluru / Bangalore, Hyderabad / Secunderabad","  Sales Forecasting , R , Neural network algor , Marketing Research , Logistics Manager"
22,Data Scientist / Data Analyst / Business Analytics- Freshers,Solitaire Infotech Solution,0-1 Years,Bengaluru / Bangalore,"  O2c , fresher data analyst , Banking , Marketing Analytics , graduate fresher , fresher reporting analyst"
23,Senior Data Scientist,Radilla Consulting Private Limited,5-8 Years,Pune,"  R , Data Scientist , Python , C , C# , Java"
24,Senior Data Scientist,Company Name Confidential,4-9 Years,Hyderabad / Secunderabad,"  R , Python , Data Science , Deep Learning , Neural Networks , Nlp"
25,Data Analyst / Fresher / Data Scientist / Graduate Fresher - MNC - 7303778896 | 9560245147,Structured Learning Assistance Consultants India Private Limited,0-5 Years,"Delhi, Gurgaon / Gurugram","  Freshers , Graduates , Graduate Fresher , Data Entry , Data Analysis , Mis , Market Research"
26,Data Scientist,AasaanJobs Private Limited,6-9 Years,Bengaluru / Bangalore,  Data Scientist
27,Data Scientist,Vivotex India Private Limited,3-10 Years,Bengaluru / Bangalore,"  H2O , Telco domain , Python , Machine Learning , Data Mining , Tableau"
28,DATA SCIENTIST,Atyeti Inc,3-8 Years,Pune,"  Natural Language Processing Engineer , Java , Nlp , Machine Learning , Deep Learning"
29,Data Science/Scientist,Shri TirupatiI Balaji Education Foundation,0-5 Years,"Bengaluru / Bangalore, Chennai",  Data Science
30,Data Scientist,Lera Technologies Private Limited,4-9 Years,"Bengaluru / Bangalore, Hyderabad / Secunderabad","  Python , R Programming , Matlab"
31,Data Analyst Data Analysis Data Analytics Data Science Data Scientist,Prismer Business Solutions Private Limited,3-7 Years,Mumbai,"  Data Analyst , Data Analysis , Big Data Engineer , Big Data Analyst , Data Analytics"
32,Data Analyst – Fresher – Data Scientist – Graduate - Fresher 7303778896,Structured Learning Assistance Consultants India Private Limited,0-5 Years,"Delhi, Noida","  Freshers , Graduates , Graduate Fresher , Data Entry , Data Analysis , Mis , Market Research"
33,Data Engineer / Data Scientist / Data Analyst Requirements,Company Name Confidential,0-3 Years,"Bengaluru / Bangalore, Hyderabad / Secunderabad","  Data Analyst , Reporting Analyst , Data Entry , Data Mining , Research Analyst"
34,Data Analyst / Fresher / Data Scientist / Graduate Fresher - MNC - 8218334341 | 8077828639,Structured Learning Assistance Consultants India Private Limited,0-5 Years,"Delhi, Noida","  Freshers , Graduates , Graduate Fresher , Data Entry , Data Analysis , Mis , Market Research"
35,Machine Learning Developer,Prisma Global Limited,1-5 Years,"Mumbai, Mumbai City",  Deep Learning Machine Learning Transfer Learning Data Scientist Natural Language Processing Swarm Intelligence
36,"Data Scientist – Python, ML, DL, NLP",A&S Software Technologies,2-4 Years,Chennai,"  Python , Pyspark , Spark , Machine Learning , Deep Learning , Neural Networks"
37,Data Analyst – Fresher – Data Scientist – Graduate - Fresher 8077828639 | 7303778896,Structured Learning Assistance Consultants India Private Limited,0-5 Years,"Delhi, Gurgaon / Gurugram","  Freshers , Graduates , Graduate Fresher , Data Entry , Data Analysis , Mis , Market Research"
38,Senior Data Scientist(Contract to Hire),Smart And Prompt Hr Services Private Limited,2-7 Years,Thiruvananthapuram / Trivandrum,"  Data Scientist , Machine Learning , Data Mining"
39,Data Scientist,Axxonet System Technologies Private Limited,0-1 Years,Bengaluru / Bangalore,"  Statistics. At least one programming language R/ Python. Data Extraction , Transformation"
40,"Data Scientist - Organization leading in AI and Machine Learning in industrial IOT, Bopodi, Pune",Seventh Contact Hiring Solutions,5-12 Years,Pune,"  supervised learningLanguages , Bopodi , Pune , C++ , Data Scientist , Python , Java"
41,Data Scientist : -Immediate Opening with our Top MNC Client-Pune Location .,Future Focus Infotech Private Limited,10-15 Years,Pune,"  Datascientist , Ai , Ml"
42,"Platform Engineer - C++ -US Based Product IT MNC, Bopodi , Pune",Seventh Contact Hiring Solutions,5-10 Years,Pune,"  supervised learningLanguages , Bopodi , Pune , C++ , Data Scientist , Python , Java"
43,"""Lead Data Scientist""",Leaders Hunt,5-8 Years,"Bengaluru / Bangalore, Mumbai","  lead analyst , Data Scientist , Data Science"
44,Data Analyst Data Analysis Data Analytics Data Science Data Scientist,Prismer Business Solutions Private Limited,3-5 Years,"Bengaluru / Bangalore, Chennai","  Data Analyst , Data Analysis , Big Data Engineer , Big Data Analyst , Data Analytics"
45,Data Scientist -Deep learning Expert,Achyutas Soft Private Limited,1-6 Years,Hyderabad / Secunderabad,  Deep Learning
46,Principal Senior Data Scientist,AasaanJobs Private Limited,5-10 Years,Bengaluru / Bangalore,"  Data Scientist , AWS , Azure , Python , Sql , Excel , Tableau , Pandas , Spss , Hadoop"
47,Data Scientist,Shri TirupatiI Balaji Education Foundation,0-5 Years,"Bengaluru / Bangalore, Chennai",  Data Science
48,Data Science/Scientist - 7454879990,Shri TirupatiI Balaji Education Foundation,0-5 Years,"Bengaluru / Bangalore, Chennai",  Data Science
49,Data Scientist (Bank),Snaphunt Pte Ltd,4-10 Years,Bengaluru / Bangalore,"  Data Analysis , Data Mining , Data Analytics , Statistical Analysis , Data Modeling"
50,Data Analyst – Fresher – Data Scientist – Graduate - Fresher 7303778896 | 9560245147,Structured Learning Assistance Consultants India Private Limited,0-5 Years,"Delhi, Noida","  Freshers , Graduates , Graduate Fresher , Data Entry , Data Analysis , Mis , Market Research"
51,Java,A&S Software Technologies,5-8 Years,Chennai,"  Java , Spring Boot , Rest Services , Hibernate , Jpa , Jsp , Jsf , Jquery , Maven , Log4j"
52,Data Analyst / Data Scientist / Data Analysis / Data Analytics,Support.com India Private Limited,5-7 Years,Bengaluru / Bangalore,"  snowflake , Sql , Psql , Aws Redshift , Phython , Nlp , Spark"
53,Data science-phd,Novotree Minds Consulting Private Limited,0-1 Years,Bengaluru / Bangalore,"  Analyst , data scientist"
54,Data Scientist,Zycus Infotech,1-10 Years,Bengaluru / Bangalore,"  R , data architectures , DigitalOcean , Reduce , Gurobi , Python , Sql , data mining"
55,Data Scientist,Zycus Infotech,1-10 Years,Bengaluru / Bangalore,"  R , data architectures , DigitalOcean , Reduce , Gurobi , Python , Sql , data mining"
56,Data Analyst / Fresher / Data Scientist / Graduate Fresher - MNC - 7303778896 | 9560245147,Structured Learning Assistance Consultants India Private Limited,1-7 Years,"Delhi, Noida","  Freshers , Graduates , Graduate Fresher , Data Entry , Data Analysis , Mis , Market Research"
57,Developer Analyst Analyst Developer Analyst Programmer,Suntech Business Solutions LLP,1-6 Years,Remote,"  Developer Analyst , Analyst Developer , Analyst Programmer"
58,"Excellent Opportunity For ""Data Science"" in Technology Center in Pune.",Peoplefy Infosolutions Private Limited,1-6 Years,Pune,"  Artificial Intelligence Neural Networks AI , Data Science , Machine Learning , Python"
59,Lead Data Scientist (Banking Operations),Snaphunt Pte Ltd,8-16 Years,Bengaluru / Bangalore,"  Statistics , Banking Operations , Financial Services , Machine Learning , Python"
60,Excellent Opportunity For Sr. Data Science For MNC in Pune.,Peoplefy Infosolutions Private Limited,6-11 Years,Pune,"  Artificial Intelligence Neural Networks AI , Data Science , Machine Learning , Python"
61,Data Analyst / Fresher / Data Scientist / Graduate Fresher - MNC - 7303778896 | 9560245147,Structured Learning Assistance Consultants India Private Limited,0-5 Years,"Delhi, Gurgaon / Gurugram","  Freshers , Graduates , Graduate Fresher , Data Entry , Data Analysis , Mis , Market Research"
62,urgent opportunity for data scientist in bangalore,JB Consultants,8-18 Years,Bengaluru / Bangalore,  Data Scientist
63,Data Scientist,TransAltus Management consulting Private Limited,5-10 Years,Bengaluru / Bangalore,"  Matlab C , Data Science , Data Scientist , Python , Sql , Artificial Neural Networks"
64,Job | Urgent Opening for NLP- Data scientist_CMMI 5 Level Company (Bangalore),Alphacom Systems and Solutions Priavte Limited,3-6 Years,Bengaluru / Bangalore,"  NLG , DL , Ontology , Jinja , Nlp , Ml , Python , Flask , Microservices , Kafka , Sparql"
65,Data Scientist,Novotree Minds Consulting Private Limited,2-4 Years,Bengaluru / Bangalore,  Data Scientist
66,Data engineer,Reynold Infotek,5-13 Years,"Delhi, Gurgaon / Gurugram","  Data Engineer , Data Visualization , Python , Cassandra"
67,Data Scientist,Acmeture Global Consulting Services,2-3 Years,Hyderabad / Secunderabad,"  R , ""Auto ML"" , Mining Engineer , Python , Algorithm"
68,Data Analyst / Fresher / Data Scientist / Graduate Fresher - MNC - 7303778896 | 9560245147,Structured Learning Assistance Consultants India Private Limited,0-5 Years,"Delhi, Ghaziabad","  Freshers , Graduates , Graduate Fresher , Data Entry , Data Analysis , Mis , Market Research"
69,Cloud Data Scientist,SRS Business Solutions India Private Limited,10-18 Years,"Bengaluru / Bangalore, Hyderabad / Secunderabad","  data scientist , Gcp , python , Etl , Machine Learning"
70,Looking For Artificial Intelligence Fresher's- 2020 -7454878658,Shri TirupatiI Balaji Education Foundation,0-5 Years,"Bengaluru / Bangalore, Chennai","  Machine Learning , Java"
71,"Trainee - Data Science, Artificial Intelligence & Data Analytics",Shri TirupatiI Balaji Education Foundation,0-5 Years,"Bengaluru / Bangalore, Chennai","  Python , Java , C++"
72,Data Science/ Scientist - Python/ Deep Learning,Shri TirupatiI Balaji Education Foundation,0-5 Years,"Bengaluru / Bangalore, Chennai","  Machine Learning , Java"
73,Data Analyst,Company Name Confidential,1-4 Years,"Bengaluru / Bangalore, Chennai","  Data Analysis , Phyton , Tableau , Sql , Oracle , Vba , C#"
74,Internship in Artificial Intelligence-9808811409,Shri TirupatiI Balaji Education Foundation,0-5 Years,"Bengaluru / Bangalore, Chennai","  Machine Learning , Java"
75,Data Scientist,Clean Harbors India LLP,5-9 Years,Hyderabad / Secunderabad,"  Data Scientist , Python"
76,Internship in Machine Learning - 8755019090,Shri TirupatiI Balaji Education Foundation,0-5 Years,"Bengaluru / Bangalore, Chennai","  Machine Learning , Java"
77,Data Analyst / Fresher / Data Scientist / Graduate Fresher - MNC - 7303778896 | 9560245147,Structured Learning Assistance Consultants India Private Limited,0-5 Years,"Delhi, Gurgaon / Gurugram","  Freshers , Graduates , Graduate Fresher , Data Entry , Data Analysis , Mis , Market Research"
78,Job Opening for Data Scientist,Team Ace HR LLP,9-19 Years,"Mumbai, Mumbai City","  Data Analyst , Predictive Maintenance , Al , Visualization , R coding language ,"
79,Data Analyst / Fresher / Data Scientist / Graduate Fresher - MNC - 7303778896 | 9560245147,Structured Learning Assistance Consultants India Private Limited,0-5 Years,"Delhi, Ghaziabad","  Freshers , Graduates , Graduate Fresher , Data Entry , Data Analysis , Mis , Market Research"
80,Urgent opening for Lead Data Scientist for Bangalore location,Executive81 HR Solutions Private Limited,8-10 Years,Bengaluru / Bangalore,"  Unstructured Data options , Sql , Algorithm , Data Structure"
81,Internship in software engg. - 8755903284,Shri TirupatiI Balaji Education Foundation,0-5 Years,"Bengaluru / Bangalore, Chennai","  Machine Learning , Java , C"
82,Internship in Machine Learning & AI - 8755903284,Shri TirupatiI Balaji Education Foundation,0-5 Years,"Bengaluru / Bangalore, Chennai","  Machine Learning , Java"
83,Data Scientist,Encora Innovation Labs India Private Limited,3-6 Years,Bengaluru / Bangalore,"  Tensor Flow , NeuMF , Google Cloud API , Data Scientist , Algorithms , Nlp , Neural Networks"
84,Data Scientist Lead,Hikaho System Private Limited,8-13 Years,Chennai,"  Statistics , Engineering , Data Analysis , Language R , Data Science , Data Extraction"
85,Data Scientist,Banctec Tps India Private Limited,3-7 Years,Pune,"  TFIDF , Word2Vec , ELMO , Spacy , Python , AWS , Nlp"
86,Machine learning Specialsit,Novotree Minds Consulting Private Limited,2-4 Years,"Bengaluru / Bangalore, Chennai","  Machine Learning Specialist , Data Analyst , Data Scientist"
87,Data Analyst – Fresher – Data Scientist – Any Graduate - Fresher 6397800351 | 9717266846,Structured Learning Assistance Consultants India Private Limited,0-5 Years,"Delhi, Noida","  Data Analyst , MI report development , Data Scientist"
88,"Power Bi, Power BI Developer",Prismer Business Solutions Private Limited,3-7 Years,"Bengaluru / Bangalore, Chennai","  Power BI Developer , MSBI SSIS SSRS SSAS , MicrosoftBI , MSBI SSIS SSRS , MSBI SSIS SSRS Sql Server"
89,"Data Scientist (Python, Tensor Flow or PyTorch)",OMS Software Solutions India Private Limited,4-8 Years,Coimbatore,"  Tensor Flow , Statistics , Data Scientist , Python , Pytorch , Ml"
90,Data Analyst – Fresher – Data Scientist – Graduate - Fresher 7303778896 | 9560245147 | 6397800351,Structured Learning Assistance Consultants India Private Limited,0-5 Years,"Delhi, Gurgaon / Gurugram","  Freshers , Graduates , Graduate Fresher , Data Entry , Data Analysis , Mis , Market Research"
91,Data Analyst – Fresher – Data Scientist – Graduate - Fresher 7303778896 | 9560245147 | 6397800351,Structured Learning Assistance Consultants India Private Limited,0-5 Years,"Delhi, Noida","  Freshers , Graduates , Graduate Fresher , Data Entry , Data Analysis , Mis , Market Research"
92,data analyst,Yashodha S M (Proprietor Of Co Inter Technology),0-2 Years,Mumbai City,"  Data Analyst , Mis Executive , Reporting Analyst , Data Mining"
93,Data Scientist (Job Code : J42625),Sampoorna Consultants Private Limited,4-8 Years,Pune,  Data Science
94,senior data engineer,Krudh Solutions For Life Private Limited,6-10 Years,Hyderabad / Secunderabad,"  Healthcare , data factory , data bricks , Azure , Spark , Sql"
95,Data Scientist Machine Learning Python Tableau Telecom,Brain Management Consultants India Private Limited,10-15 Years,Pune,"  Telecom , Data Scientist , Machine Learning , Python , Tableau"
96,Data Scientist Python Machine Learning Tableau Server,Brain Management Consultants India Private Limited,10-15 Years,Pune,"  Data Scientist , Python , Machine Learning , Tableau Server"
97,Immediate openings for Data Scientist for Bangalore Location,US Tech Solutions Private Limited,4-14 Years,Bengaluru / Bangalore,"  ""Data Scientist"" , ""Data Science"" , ""machine Learning"" , ""Deep Learning"" , ""Text mining"""
98,Data Scientist- Face Recognition,Eminence core solutions LLP,2-5 Years,"Bengaluru / Bangalore, Pune","  Deep Learning frameworks , Data Scientist , Python , Nlp , Cnn , Rnn"
99,Data Scientist - C++ Programming,Eminence core solutions LLP,0-2 Years,"Bengaluru / Bangalore, Pune","  Data Scientist , C++ Programming , Tensorflow , Keras , Pytorch , Matlab , Python"
100,Sr. Data Engineer (Job Code : J42507A),Sampoorna Consultants Private Limited,6-12 Years,Bengaluru / Bangalore,"  Azure or AWS , Sql"
101,Data Scientist (Machine Learning Engineer),Acmeture Global Consulting Services,5-15 Years,Hyderabad / Secunderabad,"  Google Big Query , Cloud AutoML , Data Analysis , Data Scientist , Machine Learning"
102,IT Analyst,Riju Karan (Proprietor Of Toyota Climax India),0-2 Years,Hyderabad / Secunderabad,  IT Analyst
103,Decision Science Analyst,Snaphunt Pte Ltd,1-4 Years,Bengaluru / Bangalore,"  Business Analysis , Analytics , Pricing Analyst , Data Visualization"
104,Principal Data Scientist Engineer,Oracle,8-11 Years,Hyderabad / Secunderabad,"  Principal Data Scientist Engineer , Data Scientist"
105,Sr. Data Scientist,Microsoft,5-8 Years,"Hyderabad / Secunderabad, India","  Principal Data Scientist Engineer , Data Scientist"
106,Senior Data Scientist,Infoblox Technical Support And Software Development Private Limited,6-9 Years,"Bengaluru / Bangalore, India","  Principal Data Scientist Engineer , Data Scientist"
107,"Power Bi, Power BI Developer",Prismer Business Solutions Private Limited,3-7 Years,Hyderabad / Secunderabad,"  Power BI Developer , MSBI SSIS SSRS SSAS , MicrosoftBI , MSBI SSIS SSRS , MSBI SSIS SSRS Sql Server"
108,Data scientist,Agreeya Solutions India Private Limited,Not Specified,Bengaluru / Bangalore,  Data scientist
109,Data Scientist,Intel,Not Specified,"Penang, Bengaluru / Bangalore",  Data Scientist
110,Data Scientist,Agreeya Solutions India Private Limited,Not Specified,India,  Data Scientist
111,Data Scientist,Agreeya Solutions India Private Limited,4-7 Years,India,  Data Scientist
112,Data scientist,Larsen & Toubro Infotech Limited,4-8 Years,India,"  Analytical , statistical software , Advanced Analytics , Deep Learning , Artificial Intelligence"
113,Data Scientist,IBM,6-8 Years,Bengaluru / Bangalore,"  Analytical , statistical software , Advanced Analytics , Deep Learning , Artificial Intelligence"
114,Data Scientist,Disys India Private Limited,4-5 Years,US,"  Analytical , statistical software , Advanced Analytics , Deep Learning , Artificial Intelligence"
115,Data Scientist 1,PayPal,3-6 Years,Chennai,  Data Scientist 1
116,Data Scientist 1,PayPal,2-5 Years,Chennai,  Data Scientist 1
117,Data Scientist,Allerin Tech Private Limited,2-7 Years,"Mumbai, India","  R , D3.js , GGplot , Data Scientist , Machine Learning , Weka , Numpy , MatLab , Data Visualisation"
118,Data Scientist,Amazon,3-6 Years,Bengaluru / Bangalore,"  R , D3.js , GGplot , Data Scientist , Machine Learning , Weka , Numpy , MatLab , Data Visualisation"
119,"Data Scientist, Analytics",ANI Calls India Private Limited,5-8 Years,"Mumbai, India","  Analytics , Data Scientist"
120,"Data Scientist, Analytics",ANI Calls India Private Limited,5-8 Years,"Noida, India","  Analytics , Data Scientist"
121,ML Data Scientist,ANI Calls India Private Limited,6-12 Years,"Mumbai, India",  ML Data Scientist
122,Data Scientist,Amazon,5-8 Years,Hyderabad / Secunderabad,  ML Data Scientist
123,"Data Scientist, Analytics",ANI Calls India Private Limited,5-8 Years,"Chennai, India","  Analytics , Data Scientist"
124,Data Scientist II,Amazon,4-7 Years,Bengaluru / Bangalore,  Data Scientist II
125,Data Scientist - Analytics,Standard Chartered,8-11 Years,India,  Data Scientist - Analytics
126,"Data Scientist, Analytics, Engineer",ANI Calls India Private Limited,5-8 Years,"Bengaluru / Bangalore, India","  Analytics , Engineer , Data Scientist"
127,Data Scientist,21st Century Talent Services Private Limited,Not Specified,India,  Data Scientist
128,"opening For Data scientist,IIOT",Access Automation Private Limited,Not Specified,Bengaluru / Bangalore,  Data Scientist
129,Data Scientist,PayPal,2-5 Years,Chennai,  Data Scientist
130,Data Scientist,PayPal,1-3 Years,Chennai,  Data Scientist
131,Data Scientist & AI Expert,Siemens Technology,8-11 Years,India,  Data Scientist & AI Expert
132,Applied Scientist/Data Scientist,Amazon,Not Specified,Bengaluru / Bangalore,  Applied Scientist/Data Scientist
133,Data Scientist,Cognizant Technology Solutions India Pvt Ltd,Not Specified,Hyderabad / Secunderabad,  Data Scientist
134,Data Scientist,Amazon,5-8 Years,Pune,  Data Scientist
135,Data Scientist | Machine Learning Engineer,ANI Calls India Private Limited,5-8 Years,"Mumbai, India",  Data Scientist | Machine Learning Engineer
136,Data Scientist,Bajaj Allianz General Insurance Company Limited,3-7 Years,India,  Data Scientist | Machine Learning Engineer
137,Data Scientist,Mindtree Limited,12-16 Years,Bengaluru / Bangalore,  PEOPLE FUNCTION
138,Data Scientist,DELL,14-17 Years,"Bengaluru / Bangalore, India",  PEOPLE FUNCTION
