,roles,companies,experience,locations,skills
139,KGS - Data Scientist - Consultant - Bangalore,KPMG,4-7 Years,Bengaluru / Bangalore,  KGS - Data Scientist - Consultant - Bangalore
140,Data Scientist - Analytics,Standard Chartered,8-11 Years,"Bengaluru / Bangalore, India",  Data Scientist - Analytics
141,Sr. Data Scientist,Amazon,4-7 Years,Bengaluru / Bangalore,  Sr. Data Scientist
142,Data Scientist,Inspirisys Solutions Limited,5-8 Years,Chennai,"  open source stack , Data Analysis , Data Scientist"
143,Senior Data Scientist,Infoblox Technical Support And Software Development Private Limited,6-9 Years,"Bengaluru / Bangalore, India","  open source stack , Data Analysis , Data Scientist"
144,Senior Data Scientist,Cognizant Technology Solutions India Pvt Ltd,Not Specified,Hyderabad / Secunderabad,  Senior Data Scientist
145,Senior Data Scientist,Cognizant Technology Solutions India Pvt Ltd,Not Specified,Chennai,  Senior Data Scientist
146,Data Scientist-Mumbai,Aditya Birla Group,3-5 Years,India,  Senior Data Scientist
147,Data Scientist Associate,JP Morgan Chase & Co.,3-6 Years,Mumbai,  Senior Data Scientist
148,Senior Data Scientist,Microsoft,5-8 Years,"Hyderabad / Secunderabad, India",  Senior Data Scientist
149,SR DATA Scientist,Larsen & Toubro Infotech Limited,5-9 Years,India,"  Data Analysis , Analytical , Manager Technology , Deep Learning , Data Science"
150,Data Scientist 1,PayPal,Not Specified,Chennai,  Data Scientist 1
151,Data Scientist,IBM,Not Specified,India,  Data Scientist 1
152,Data Scientist 1,PayPal,3-6 Years,Bengaluru / Bangalore,  Data Scientist 1
153,Senior Data Scientist,The HDFC Bank Limited,5-7 Years,"Mumbai, India",  Senior Data Scientist
154,Data Scientist - Analytics,Standard Chartered,Not Specified,India,  Data Scientist - Analytics
155,Data Scientist,Microsoft,Not Specified,"Hyderabad / Secunderabad, India",  Data Scientist - Analytics
156,Data Scientist 2,PayPal,Not Specified,Chennai,  Data Scientist 2
157,Associate Data Scientist I,UST Global Singapore Pte Limited,Not Specified,Thiruvananthapuram / Trivandrum,  Associate Data Scientist I
158,Lead Consultant - Data Scientist AI,Genpact,Not Specified,Noida,"  Lead Consultant - Data Scientist AI , Corporate"
159,Data Scientist 2,PayPal,5-8 Years,Bengaluru / Bangalore,  Data Scientist 2
160,Data Scientist - Analytics,Standard Chartered,Not Specified,"Bengaluru / Bangalore, India",  Data Scientist - Analytics
161,Associate Data Scientist II,UST Global Singapore Pte Limited,Not Specified,Thiruvananthapuram / Trivandrum,  Associate Data Scientist II
162,Data Scientist - AI/ML,Adobe Consultants And Outsourcing Private Limited,1-4 Years,Bengaluru / Bangalore,  Data Scientist - AI/ML
163,Data Engineer : Big Data [ Pan India],Transgnx HR Solutions Private Limited,6-7 Years,"Ahmedabad, Bengaluru / Bangalore","  R , Data Engineer , Big Data , Sql , Data Modeling , Data Warehousing , Python ,"
164,Senior Analyst - Data Scientist (Automotive),Markit HIS,3-6 Years,Bengaluru / Bangalore,"  R , Data Engineer , Big Data , Sql , Data Modeling , Data Warehousing , Python ,"
165,Senior Analyst - Data Scientist (Automotive),Markit HIS,3-6 Years,India,"  R , Data Engineer , Big Data , Sql , Data Modeling , Data Warehousing , Python ,"
166,Data Scientist I/II,Philips,7-12 Years,Bengaluru / Bangalore,  Data Scientist I/II
167,Data Scientist 1-1,PayPal,Not Specified,Chennai,  Data Scientist 1-1
168,Manager - Data Scientist,Genpact,Not Specified,Bengaluru / Bangalore,"  Manager - Data Scientist , Operations"
169,Sr Data Scientist-Digital Lending-DS-Mumbai,Aditya Birla Group,5-7 Years,India,"  Sr Data Scientist , Digital Lending , Credit , fraud risk , Regulatory Compliance"
170,Senior Data Scientist I,Philips,10-13 Years,Bengaluru / Bangalore,  Senior Data Scientist I
171,Senior Data Scientist Engineer,Oracle,5-8 Years,Hyderabad / Secunderabad,  Senior Data Scientist I
172,Lead Data Scientist,Superior Talent,8-11 Years,Bengaluru / Bangalore,  Senior Data Scientist I
173,Data Scientist II,Amazon,3-6 Years,Bengaluru / Bangalore,  Senior Data Scientist I
174,Senior Data Scientist,Microsoft,7-10 Years,"Hyderabad / Secunderabad, India",  Senior Data Scientist I
175,Delivery Data Scientist,Microsoft,Not Specified,"Hyderabad / Secunderabad, India",  Senior Data Scientist I
176,Senior Data Scientist,Microsoft,Not Specified,"Hyderabad / Secunderabad, India",  Senior Data Scientist I
177,Data Scientist-PL-Prime Markets,The HDFC Bank Limited,1-2 Years,"Mumbai, India",  Data Scientist-PL-Prime Markets
178,Senior Data Scientist,Techwave Consulting Inc,8-11 Years,"Hyderabad / Secunderabad, India","  Senior Data Scientist , Data Analysis , Machine Learning , Artificial Intelligence"
179,Data Scientist II,Amazon,5-8 Years,Bengaluru / Bangalore,"  Senior Data Scientist , Data Analysis , Machine Learning , Artificial Intelligence"
180,Senior Data Scientist,Microsoft,5-8 Years,"Hyderabad / Secunderabad, India","  Senior Data Scientist , Data Analysis , Machine Learning , Artificial Intelligence"
181,Data Scientist 2,Microsoft,2-5 Years,"Noida, India","  Senior Data Scientist , Data Analysis , Machine Learning , Artificial Intelligence"
182,Data Scientist II,Microsoft,4-7 Years,"Hyderabad / Secunderabad, India","  Senior Data Scientist , Data Analysis , Machine Learning , Artificial Intelligence"
183,Sr Data Scientist,Disys India Private Limited,11-14 Years,US,"  Senior Data Scientist , Data Analysis , Machine Learning , Artificial Intelligence"
184,Sr. Data Scientist,Superior Talent,5-8 Years,India,"  Senior Data Scientist , Data Analysis , Machine Learning , Artificial Intelligence"
185,Data Scientist I,UST Global Singapore Pte Limited,Not Specified,Pune,"  Senior Data Scientist , Data Analysis , Machine Learning , Artificial Intelligence"
186,Data Scientist,Barclays,Not Specified,"Pune, India",  Data Scientist
187,Data Scientist 4,Oracle,8-11 Years,Hyderabad / Secunderabad,  Data Scientist
188,Data Scientist Sales Reports and Analytics,DELL,Not Specified,"Bengaluru / Bangalore, India",  Data Scientist
189,Lead Data Scientist,Freshworks,Not Specified,"Bengaluru / Bangalore, India",  Data Scientist
190,Media Data Scientist,Freshworks,5-7 Years,"Bengaluru / Bangalore, India",  Data Scientist
191,Senior Data Scientist,ANI Calls India Private Limited,6-8 Years,"Noida, India",  Senior Data Scientist
192,Data Scientist,Golden Opportunities Private Limited,4-8 Years,Bengaluru / Bangalore,"  R , IT , Software , Data Scientist , Sql , Python , Information Technology"
193,Data Scientist,Harjai Computers Private Limited,2-3 Years,"Mumbai, Navi Mumbai","  Data Scientist , SQL Server , Python"
194,Data Scientist/Product Manager/Strategy 4-ProdDev,Oracle,5-8 Years,Bengaluru / Bangalore,"  jupyter , Data Scientist , Product Manager , Git , Python , Spark , Machine Learning"
195,Data Scientist,Techwave Consulting Inc,5-7 Years,Hyderabad / Secunderabad,"  A/B testing framework , R , SLQ , Data Scientist , Python , C , C++ , Java , Javascript"
196,Lead Data Scientist,Cognizant Technology Solutions India Pvt Ltd,Not Specified,Hyderabad / Secunderabad,  Lead Data Scientist
197,Data Scientist 2,PayPal,Not Specified,Chennai,  Data Scientist 2
198,Data Scientist,JP Morgan Chase & Co.,3-6 Years,Bengaluru / Bangalore,"  Data Analysis , R , story telling capabilities , Data Scientist , Machine Learning"
199,Associate Data Scientist II,UST Global Singapore Pte Limited,Not Specified,Pune,"  Data Analysis , R , story telling capabilities , Data Scientist , Machine Learning"
200,Associate Data Scientist II,UST Global Singapore Pte Limited,Not Specified,Pune,"  Data Analysis , R , story telling capabilities , Data Scientist , Machine Learning"
201,Data Scientist,Hitachi,Not Specified,"Hyderabad / Secunderabad, India",  Data Scientist
202,Data Scientist,Hitachi,Not Specified,"Pune, India",  Data Scientist
203,Data-Scientist Lead,ANI Calls India Private Limited,3-6 Years,"Hyderabad / Secunderabad, India",  Data-Scientist Lead
204,Data Scientist Senior,ANI Calls India Private Limited,5-8 Years,"Mumbai, India",  Data Scientist Senior
205,Data Scientist Senior,ANI Calls India Private Limited,5-8 Years,"Chennai, India",  Data Scientist Senior
206,People Data Scientist,Micron Semiconductor Asia Operations Pte. Ltd,4-7 Years,"Hyderabad / Secunderabad, India",  People Data Scientist
207,Data Scientist-Advanced Analytics,Harjai Computers Private Limited,3-6 Years,Mumbai,  Spss
208,Data Scientist,Hitachi,Not Specified,"Bengaluru / Bangalore, India",  Data Scientist
209,Data Scientist,Amazon,5-8 Years,Hyderabad / Secunderabad,"  Data Processing , Data Scientist , Sql , No Sql , Dbms , Hadoop , Spark , Elasticsearch"
210,SAS Data Scientist/Modeler,ANI Calls India Private Limited,6-8 Years,"Hyderabad / Secunderabad, India",  SAS Data Scientist/Modeler
211,Senior Data Scientist Engineer,Oracle,5-8 Years,Hyderabad / Secunderabad,  SAS Data Scientist/Modeler
212,Data Scientist Senior,ANI Calls India Private Limited,5-8 Years,"Hyderabad / Secunderabad, India",  Data Scientist Senior
213,Data Scientist Senior,ANI Calls India Private Limited,5-8 Years,"Bengaluru / Bangalore, India",  Data Scientist Senior
214,Global Medical Data Scientist,GlaxoSmithKline Pte Ltd,5-8 Years,"Bengaluru / Bangalore, India",  Data Scientist Senior
215,Data Scientist Senior,ANI Calls India Private Limited,5-8 Years,"Noida, India",  Data Scientist Senior
216,Data Scientist Lead,ANI Calls India Private Limited,3-7 Years,"Hyderabad / Secunderabad, India",  Data Scientist Lead
217,Assistant Manager Ard/adl (analytical Research& Development),S R Recruiters,5-10 Years,Amritsar,  Analytics Management Data Scientist
218,Associate Data Scientist II,UST Global Singapore Pte Limited,Not Specified,Pune,  Analytics Management Data Scientist
219,Sales Development Data Scientist,Freshworks,Not Specified,"Bengaluru / Bangalore, India",  Analytics Management Data Scientist
220,Data Scientist,Cognizant Technology Solutions India Pvt Ltd,Not Specified,Chennai,  Analytics Management Data Scientist
221,Senior Data Scientist,PayPal,5-8 Years,Chennai,  Senior Data Scientist
222,Senior Data Scientist,ANI Calls India Private Limited,8-10 Years,"Chennai, India",  Senior Data Scientist
223,Data Scientist,Virtusa Software Services Private Limited,9-14 Years,Chennai,"  R , Sales , Presales , Data Science , Artificial Intelligence , Neural Networks , Text Mining"
224,Manager - Data Scientist,Genpact,Not Specified,Bengaluru / Bangalore,"  Manager - Data Scientist , Operations"
225,Manager - Data Scientist,Genpact,Not Specified,Bengaluru / Bangalore,"  Manager - Data Scientist , Operations"
226,Data Scientist,Markit HIS,3-6 Years,Gurgaon / Gurugram,"  Manager - Data Scientist , Operations"
227,Data Scientist Engineer,ANI Calls India Private Limited,5-9 Years,"Noida, India",  Data Scientist Engineer
228,Data Scientist-2,PayPal,Not Specified,Chennai,  Data Scientist-2
229,Data Scientist,IBM,Fresher,Gurgaon / Gurugram,"  Development , Analytics , implementing , Design , Data Scientist , Automation"
230,Data Scientist /software,ANI Calls India Private Limited,5-9 Years,"Bengaluru / Bangalore, India",  Data Scientist /software
231,Data Scientist / Machine,ANI Calls India Private Limited,5-9 Years,"Chennai, India",  Data Scientist / Machine
232,Senior Data Scientist,ANI Calls India Private Limited,8-10 Years,"Bengaluru / Bangalore, India",  Senior Data Scientist
233,Manager - Data Scientist,Genpact,Not Specified,Bengaluru / Bangalore,"  Manager - Data Scientist , Digital"
234,Data Scientist - B3/4/5/6,Stalwart management consulting,2-15 Years,Pune,"  R , Sql , Data Scientist"
235,Data Scientist - AI/ML Specialist,ANI Calls India Private Limited,8-10 Years,"Noida, India",  Data Scientist - AI/ML Specialist
236,Deep Learning Specialist(Data Scientist),Standard Chartered,Not Specified,"Chennai, India",  Deep Learning Specialist(Data Scientist)
237,Manager - Data Scientist,Genpact,Not Specified,Bengaluru / Bangalore,"  Manager - Data Scientist , Digital"
238,Data Scientist-1,PayPal,Not Specified,Chennai,  Data Scientist-1
239,SA - Data Scientist,Golden Opportunities Private Limited,6-9 Years,Chennai,"  R , Data Scientist , Sql , Python , Scala , Tableau , Hadoop , Spark"
240,Data Scientist-ML,Vodafone,6-9 Years,India,  Data Scientist-ML
241,Senior Data Scientist-1,PayPal,5-8 Years,Chennai,  Senior Data Scientist-1
242,Data Scientist / NLP specialist,ANI Calls India Private Limited,5-9 Years,"Mumbai, India",  Data Scientist / NLP specialist
243,"Senior Data Scientist,analyst",ANI Calls India Private Limited,8-10 Years,"Mumbai, India","  Senior Data Scientist , analyst"
244,Manager - Data Scientist,Genpact,Not Specified,"Noida, India","  Manager - Data Scientist , Operations"
245,Data Scientist - Technology Development,Micron Semiconductor Asia Operations Pte. Ltd,5-8 Years,"Hyderabad / Secunderabad, India",  Data Scientist - Technology Development
246,SAS Data Scientist/Modeler engineer,ANI Calls India Private Limited,6-8 Years,"Chennai, India",  SAS Data Scientist/Modeler engineer
247,Data Scientist,Amazon,4-7 Years,Bengaluru / Bangalore,"  Data Scientist , Python , Perl , Scala , Java , C# , C++"
248,Data Scientist-ML,Vodafone,6-9 Years,India,  Data Scientist-ML
249,Data Scientist / NLP /engineer,ANI Calls India Private Limited,5-9 Years,"Chennai, India",  Data Scientist / NLP /engineer
250,Manager - Data Scientist,Golden Opportunities Private Limited,9-13 Years,Chennai,"  Manager , R , Data Scientist , Sql , Python , Business Intelligence Tools , Hadoop"
251,Senior Data Scientist,Amazon,6-9 Years,Bengaluru / Bangalore,"  Senior Data Scientist , Ml , Python , Sql"
252,Data Scientist - Immediate For Altimetrik,Altimetrik India Private Limited,5-9 Years,Chennai,"  Data Science , Data Scientist"
253,Assistant Manager - Data Scientist,Genpact,Not Specified,Bengaluru / Bangalore,"  Assistant Manager - Data Scientist , Operations"
254,Business Analyst - Data Scientist,Genpact,Not Specified,Bengaluru / Bangalore,"  Business Analyst - Data Scientist , Operations"
255,TTS -ASIA-Data Scientist-Celonis,Citi,7-8 Years,Pune,"  Business Analyst - Data Scientist , Operations"
256,Deep Learning Specialist(Data Scientist),Standard Chartered,Not Specified,India,  Deep Learning Specialist(Data Scientist)
257,Data Scientist Lead,Talent HR Networks Private Limited,7-10 Years,"Mumbai, Pune",  Deep Learning Specialist(Data Scientist)
258,Principle Data Scientist,Larsen & Toubro Infotech Limited,10-15 Years,India,"  Rf , Cloud Computing , Automation , Nosql , Coding , Machine Learning , Linear Regression"
259,Lead – Data Scientist – Emerging business/Core business Mumbai,Talent Leads HR Solutions Private Limtied,7-10 Years,"Mumbai, India","  R , Social Media , thought leadership , Data Science , Algorithms , Artificial Intelligence"
260,Assistant Manager - Data Scientist,Genpact,Not Specified,Noida,"  Assistant Manager - Data Scientist , Operations"
261,ML Engineer/ Data Scientist Engineer,ANI Calls India Private Limited,5-8 Years,"Hyderabad / Secunderabad, India",  ML Engineer/ Data Scientist Engineer
262,"Data Scientist II, Gift Cards",Amazon,Not Specified,Bengaluru / Bangalore,"  Data Scientist , Redshift , Sql , Etl , Data Warehouse , Python , Vba , Ec2 , Dynamodb"
263,People Data Scientist,Micron,4-7 Years,Hyderabad / Secunderabad,"  Scientific , Semiconductor , Market Research , Scientist , Technology , Engineering"
264,Assistant Manager - Data Scientist,Genpact,Not Specified,Bengaluru / Bangalore,"  Assistant Manager - Data Scientist , Digital"
265,Senior Manager - Data Scientist,Genpact,Not Specified,Bengaluru / Bangalore,"  Senior Manager - Data Scientist , Digital"
266,Data Scientist / Machine Learning,ANI Calls India Private Limited,5-9 Years,"Noida, India",  Data Scientist / Machine Learning
267,Sr Data Scientist,Techwave Consulting Inc,5-7 Years,Hyderabad / Secunderabad,"  Data Scientist , C , C++ , Java , Javascript , Machine Learning , Python , Web Services"
268,Data Scientist Senior Advisor Sales Reports and Analytics,DELL,Not Specified,"Bengaluru / Bangalore, India","  Data Scientist , C , C++ , Java , Javascript , Machine Learning , Python , Web Services"
269,Data Scientist IV,Conduent,10-15 Years,"Bengaluru / Bangalore, India","  Data Scientist , C , C++ , Java , Javascript , Machine Learning , Python , Web Services"
270,Senior Manager - Data Scientist,Genpact,Not Specified,Noida,"  Senior Manager - Data Scientist , Operations"
271,Assistant Manager - Data Scientist,Genpact,Not Specified,Gurgaon / Gurugram,"  Assistant Manager - Data Scientist , Digital"
272,Business Analyst - Data Scientist,Genpact,Not Specified,Bengaluru / Bangalore,"  Business Analyst - Data Scientist , Digital"
273,Data Scientist -GCP,Oloop Technology Solutions Private Limited,8-15 Years,"Hyderabad / Secunderabad, India","  Scientist , Data Processing , Data Scientist , Data Management"
274,Senior Data Scientist,Oracle,5-8 Years,Bengaluru / Bangalore,"  Senior Data Scientist , R , Python , data mining"
275,Data Scientist / Machine Learning Expert,ANI Calls India Private Limited,5-9 Years,"Hyderabad / Secunderabad, India",  Data Scientist / Machine Learning Expert
276,Business Analyst - Data Scientist Engineer,ANI Calls India Private Limited,5-7 Years,"Hyderabad / Secunderabad, India",  Business Analyst - Data Scientist Engineer
277,Data Scientist / Machine Learning Expert,ANI Calls India Private Limited,5-9 Years,"Mumbai, India",  Data Scientist / Machine Learning Expert
278,ML Engineer/ Data Scientist engineer,ANI Calls India Private Limited,5-8 Years,"Chennai, India",  ML Engineer/ Data Scientist engineer
279,Data Scientist / Machine Learning Expert,ANI Calls India Private Limited,5-9 Years,"Bengaluru / Bangalore, India",  Data Scientist / Machine Learning Expert
280,"Jr.Data Scientist, Rider Analytics",ANI Calls India Private Limited,8-10 Years,"Hyderabad / Secunderabad, India","  Jr.Data Scientist , Rider Analytics"
281,Senior Data Scientist,Vmware,Not Specified,Bengaluru / Bangalore,"  R , Tensor flow , Data Scientist , SAS , Python , Machine Learning , Pyspark , Presto"
282,Senior Data Scientist,IBM,Fresher,Mumbai,"  Intelligent Automation , data lake design , Data Scientist , Machine Learning"
283,Senior Manager - Data Scientist Collections,Genpact,Not Specified,Bengaluru / Bangalore,"  Senior Manager - Data Scientist Collections , Digital"
284,Senior Data Scientist,DELL,Not Specified,Bengaluru / Bangalore,"  Senior Data Scientist , Tensor flow , R , Cloudant , Keras , Pytorch , SAS , Python"
285,Data Scientist - Technical Lead,Mindtree Limited,7-12 Years,Bengaluru / Bangalore,"  R , Sql , Python , Scala , Tableau"
286,Data Scientist Intern,Amazon,Not Specified,Bengaluru / Bangalore,"  Data Scientist Intern , MXNet , R , Machine Learning , Tensorflow , Apache Spark"
287,Data Science-DL-Mumbai,Aditya Birla Group,3-5 Years,Other India,"  R , Data Science , Data Scientist , Python"
288,Senior Data Scientist,GrabTaxi Pte Ltd,Fresher,Other India,"  R , Data Scientist , Python , Scala , Predictive Modeling , Tensorflow"
289,ML Engineer/ Data Scientist lead Engineer,ANI Calls India Private Limited,5-8 Years,"Mumbai, India",  ML Engineer/ Data Scientist lead Engineer
290,Data Scientist: Advanced Analytics,IBM,10-13 Years,Mumbai,"  SAS Developer , SAS e-Miner , Data Scientist , Advanced Analytics , Base Sas"
291,"Senior Data Scientist, Rider Analytics/associate consultant",ANI Calls India Private Limited,8-10 Years,"Noida, India","  Senior Data Scientist , Rider Analytics/associate consultant"
292,Senior Principal Software Engineer - IT (Data Scientist),DELL,10-13 Years,"Bengaluru / Bangalore, India",  Senior Principal Software Engineer - IT (Data Scientist)
293,"Data Scientist III, Gift Cards",Amazon,8-11 Years,Bengaluru / Bangalore,  Senior Principal Software Engineer - IT (Data Scientist)
294,Data Scientist – 2+yrs – Bangalore,Angel & Genie,2-5 Years,Bengaluru / Bangalore,"  Map Reduce , Data Scientist , Sql , Python , Spark , Hadoop , Aws Redshift , PostgreSQL"
295,Snr Data Scientist-NBFC(Financial services)-Bangalore,Angel & Genie,10-13 Years,Bengaluru / Bangalore,"  Data Analysis , Airflow , Data Scientist , AWS , Git , Pyspark , Machine Learning"
296,Sr. Data Scientist- 12-15 Years- Noida/ Hyderabad,Careator Technologies Private Limited,Not Specified,"Hyderabad / Secunderabad, India",  Sr. Data Scientist- 12-15 Years- Noida/ Hyderabad
297,Data & Applied Scientist,Microsoft,5-8 Years,"Hyderabad / Secunderabad, India",  Sr. Data Scientist- 12-15 Years- Noida/ Hyderabad
298,Software Developer,UST Global Singapore Pte Limited,Not Specified,Bengaluru / Bangalore,  Software Developer
299,Data & Applied Scientist,Microsoft,6-9 Years,"Hyderabad / Secunderabad, India",  Software Developer
300,Data Scientist_5+_Chennai_perm,Arminus Software Private Limited,Fresher,Chennai,"  Go , Data Scientist , C++ , Java , Tensorflow , Pytorch , Machine Learning , AWS"
301,Product development Data Scientist ML,CareerXperts Consulting,4-7 Years,Bengaluru / Bangalore,"  Analytical , Product Design , high performance computing , Unix , Git , Machine Learning"
302,Principal Data Scientist,Markit HIS,5-8 Years,Other India,"  R , M Matlab , ETL processes , Data Scientist , Knime , Oracle Db , SQL Server , MongoDB"
303,Data Engineer,Amazon,Fresher,Bengaluru / Bangalore,"  Projects , Implementation , business analyst , Data Engineer , Data Architecture"
304,Data Scientist Embedded Systems Innovation,CareerXperts Consulting,3-7 Years,India,"  Analytical , Consulting , Product Design , high performance computing , Unix"
305,Data Scientist Embedded Systems Innovation,CareerXperts Consulting,3-7 Years,Bengaluru / Bangalore,"  Analytical , Product Design , high performance computing , Unix , Ubuntu , Git"
306,Data Scientist - Job Code(NLP-18),UVJ Technologies Private Limited,2-4 Years,India,"  Ai , Naturallanguageprocessing , Machinelearning , Nosqldatabases , Python"
307,Analyst Data Science (Risk/Fraud) AI ML based startup Magarpatta Pune,Seventh Contact Hiring Solutions,3-8 Years,Pune,"  Banglore , Magarpatta , Statistical Modeling , Consumer Banking , model development"
308,Data Analyst/ Scientist,ANI Calls India Private Limited,5-9 Years,"Noida, India",  Data Analyst/ Scientist
309,Senior Developer / Data Engineer/ Data Scientist,Agreeya Solutions India Private Limited,2-5 Years,Hyderabad / Secunderabad,  Data Analyst/ Scientist
310,FTE_Data Science(Deep Learning/Data Scientist)_A/SA/M_BLR_Ponnarasu,Arminus Software Private Limited,Not Specified,"Chennai, Pune",  FTE_Data Science(Deep Learning/Data Scientist)_A/SA/M_BLR_Ponnarasu
311,Specialist II - Software Engineering,UST Global Singapore Pte Limited,12-15 Years,Bengaluru / Bangalore,"  -Data Engineer , R , Software Engineering , Data Architect , Data Scientist , Python"
